date,Open,High,Low,Close,volume,turnover,daily_return,log_return,price_range,ma_5,ma_20,volatility_5,volatility_20,Volume_Avg,SMA_200,rsi_14,macd_12_26,macd_signal_12_26,macd_histogram_12_26,macd_signal_strength,stoch_14,stoch_smoothk,stoch_smoothd,dow_trend_spec_raw,dow_trend_spec,range,avg_range,is_mother_candle,mother_candle_trend,final_trend,trend_code,cluster,cluster_description
2013-09-20 00:00:00+05:30,6104.55,6130.95,5932.85,6012.1,318645265,11587.18,-0.0169158947273753,-0.0170606027059621,198.09999999999943,5943.570000000001,5662.2125,0.0196655614090729,0.0200856966807554,258449687.75,,64.21855845424456,115.87058872389753,74.35425927767426,41.51632944622327,41.51632944622327,84.16707139388058,90.68676949985615,90.18476615163956,Downtrend,Downtrend,198.09999999999943,124.57000000000008,True,Sideways,Downtrend,0,0,Uptrend/Profitable
2013-09-23 00:00:00+05:30,5945.8,5989.4,5871.4,5889.75,188322506,6596.17,-0.0203506262370886,-0.0205605532113049,118.0,5953.410000000001,5683.1125,0.022901363432942,0.0208294299239446,255290217.55,,57.359524901602136,111.18053067355868,81.71951355685114,29.46101711670753,29.46101711670753,69.31155900922779,83.4021369596892,88.59906535152369,Downtrend,Downtrend,118.0,125.42000000000009,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-09-24 00:00:00+05:30,5855.0,5938.4,5854.55,5892.45,187578148,7002.84,0.0004584235324078,0.0004583184884422,83.84999999999945,5961.860000000001,5703.91,0.0229106435813933,0.0208327631588684,252569307.05,,57.46748615072314,106.45435378883668,86.66648160324826,19.78787218558841,19.78787218558841,69.63938805245263,74.37267281852034,82.8205264260219,Sideways,Downtrend,83.84999999999945,125.90000000000003,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-09-25 00:00:00+05:30,5901.55,5910.55,5811.1,5873.85,200162195,6988.96,-0.0031565817274646,-0.0031615742405177,99.44999999999982,5956.74,5733.2300000000005,0.0226386964687377,0.0188794629859843,247275566.3,,56.40793978232485,100.05459293854074,89.34410387030675,10.710489068233985,10.710489068233985,54.45066124109875,64.46720276759307,74.08067084860086,Downtrend,Downtrend,99.44999999999982,123.21500000000006,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-09-26 00:00:00+05:30,5872.8,5917.65,5864.1,5882.25,220589737,7761.99,0.0014300671620828,0.0014290455898673,53.54999999999927,5910.08,5763.092500000001,0.0101922945249831,0.0188530233527216,241505365.9,,56.79535726148215,94.57039748103124,90.38936259245166,4.181034888579589,4.181034888579589,54.84514617853738,59.64506515736292,66.16164691449211,Uptrend,Uptrend,53.54999999999927,115.95000000000005,False,Downtrend,Uptrend,2,2,Sideways/Low Volatility
2013-09-27 00:00:00+05:30,5905.55,5909.2,5819.3,5833.2,163067913,5303.31,-0.0083386459263037,-0.0083736069214754,89.89999999999964,5874.3,5784.3,0.0088939801918971,0.0186003822645862,233333797.9,,53.78920252971164,85.28311730798578,89.36811353555849,-4.0849962275727165,4.0849962275727165,23.49740291862477,44.264403446086966,56.12555712368098,Downtrend,Downtrend,89.89999999999964,114.15000000000003,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-09-30 00:00:00+05:30,5801.05,5810.2,5718.5,5735.3,155674706,5642.77,-0.0167832407597887,-0.0169256752691879,91.69999999999982,5843.41,5797.475,0.0074857072796768,0.0190626523907318,224297447.95,,48.2947232481876,69.22518421163386,85.33952767077358,-16.114343459139718,16.114343459139718,3.9622641509434393,27.43493774936853,43.78146878427281,Downtrend,Downtrend,91.69999999999982,112.08,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-10-01 00:00:00+05:30,5756.1,5786.45,5700.95,5780.05,159247089,5075.7,0.0078025560999424,0.0077722735778165,85.5,5820.929999999999,5808.9400000000005,0.0093748376620751,0.018901812739556,221548180.2,,50.770176582892766,59.42509207960211,80.15664055253929,-20.731548472937178,20.731548472937178,17.914166006114897,15.124611025227702,28.9413174068944,Sideways,Downtrend,85.5,112.05250000000004,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-10-03 00:00:00+05:30,5819.1,5917.6,5802.7,5909.7,199793235,7481.97,0.0224306018114028,0.0221827355423806,114.90000000000056,5828.1,5837.3525,0.015072402231465,0.0168972024509548,219022899.75,,57.168258219571904,61.41219833422474,76.40775210887638,-14.99555377465164,14.99555377465164,47.27663911221831,23.05102308975888,21.8701906214517,Uptrend,Uptrend,114.90000000000056,104.93750000000009,False,Downtrend,Uptrend,2,2,Sideways/Low Volatility
2013-10-04 00:00:00+05:30,5891.3,5950.45,5885.0,5907.3,191469248,6052.47,-0.0004061119853798,-0.0004061944711852,65.44999999999982,5833.11,5860.3125,0.0150910502272862,0.0165712203807258,216734837.45,,57.02052569478688,62.077740860391714,73.54174985917945,-11.464008998787731,11.464008998787731,46.73309930925157,37.30796814252826,25.16120075250495,Sideways,Uptrend,65.44999999999982,101.14250000000008,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-10-07 00:00:00+05:30,5889.05,5912.0,5825.85,5906.15,156387945,5348.49,-0.0001946743859293,-0.0001946933374472,86.14999999999964,5847.7,5875.9725,0.0142554528375558,0.0157260603480483,210807358.95,,56.94459018491128,61.800000778494905,71.19340004304254,-9.39339926454764,9.39339926454764,46.47265315366317,46.82746385837768,35.72881836355494,Downtrend,Downtrend,86.14999999999964,101.79750000000004,False,Downtrend,Downtrend,0,2,Sideways/Low Volatility
2013-10-08 00:00:00+05:30,5975.0,5981.7,5913.0,5928.4,158527593,5950.47,0.0037672595514843,0.0037601812009728,68.69999999999982,5886.32,5888.3725,0.0094246986356856,0.0154392816681111,206082201.6,,58.10703320035601,62.653053412012014,69.48533071683644,-6.83227730482443,6.83227730482443,51.51172007700141,48.23915751330538,44.124863171403774,Uptrend,Uptrend,68.69999999999982,99.11,False,Downtrend,Uptrend,2,2,Sideways/Low Volatility
2013-10-09 00:00:00+05:30,5893.25,6015.5,5877.1,6007.45,192037125,6904.96,0.0133341205046892,0.013246003563557,138.39999999999964,5931.8,5893.9075,0.0099019965195285,0.013252650525781,201921849.1,,62.02939789549632,68.91338748770795,69.37094207101075,-0.4575545833027945,0.4575545833027945,69.41456233722113,55.799645189295234,50.2887555203261,Uptrend,Uptrend,138.39999999999964,97.69749999999996,True,Sideways,Uptrend,2,2,Sideways/Low Volatility
2013-10-10 00:00:00+05:30,6001.05,6033.95,5979.8,6020.95,159607329,6163.68,0.0022472097146044,0.0022446885152563,54.14999999999964,5954.05,5899.2975,0.0056335549225914,0.0132494386753958,196651875.15,,62.672168769302566,74.10979296025926,70.31871224886045,3.7910807113988056,3.7910807113988056,74.4186046511628,65.11496235512844,56.38458835257635,Uptrend,Uptrend,54.14999999999964,95.8224999999999,False,Uptrend,Uptrend,2,2,Sideways/Low Volatility
2013-10-11 00:00:00+05:30,6104.85,6107.6,6046.4,6096.2,180834257,8283.09,0.012498027719878,0.0124205720656753,61.20000000000073,5991.83,5911.5725,0.0061828484577426,0.0131948653005903,192044225.7,,66.11541654513962,83.33934376684192,72.92283855245675,10.416505214385168,10.416505214385168,97.1966064182957,80.34325780222655,67.08595511555008,Uptrend,Uptrend,61.20000000000073,93.07249999999996,False,Uptrend,Uptrend,2,0,Uptrend/Profitable
