date,Open,High,Low,Close,volume,turnover (₹ cr),daily_return,log_return,price_range,ma_5,ma_20,volatility_5,volatility_20,rsi_14,macd_12_26,macd_signal_12_26,macd_histogram_12_26,macd_signal_strength,stoch_14,stoch_smoothk,stoch_smoothd
2013-12-18,6129.95,6236.0,6129.95,6217.15,243250558,7498.21,,,106.05000000000018,,,,,,,,,,,,
2013-12-19,6253.9,6263.75,6150.7,6166.65,437039204,9005.49,-0.008122692873744453,-0.008155861678958343,113.05000000000018,,,,,,,,,,,,
2013-12-20,6179.95,6284.5,6170.35,6274.25,171969981,6359.37,0.01744869580728592,0.017298215252369548,114.14999999999964,,,,,,,,,,,,
2013-12-23,6267.2,6317.5,6266.95,6284.5,131187586,4746.66,0.001633661393792174,0.0016323284205711835,50.55000000000018,,,,,,,,,,,,
2013-12-24,6296.45,6301.5,6262.0,6268.4,107642909,3780.9,-0.0025618585408545558,-0.0025651457158312927,39.5,6242.19,,,,,,,,,,,
2013-12-26,6270.1,6302.75,6259.45,6278.9,182310258,6457.23,0.0016750685980473357,0.0016736672353441086,43.30000000000018,6254.539999999999,,0.009515518755750617,,,,,,,,,
2013-12-27,6292.8,6324.9,6289.4,6313.8,96867388,3797.25,0.005558298428068653,0.005542908090416466,35.5,6283.969999999999,,0.007657353709389698,,,,,,,,,
2013-12-30,6336.4,6344.05,6273.15,6291.1,101271820,3977.23,-0.0035952991859101724,-0.0036017778070772557,70.90000000000055,6287.34,,0.0036874788595341774,,,,,,,,,
2013-12-31,6307.35,6317.3,6287.3,6304.0,103439312,3032.11,0.0020505158080461605,0.0020484163699707398,30.0,6291.24,,0.0037228740491316577,,,,,,,,,
2014-01-01,6323.8,6327.2,6298.25,6301.65,69567668,2015.36,-0.000372779187817307,-0.00037284868725124024,28.949999999999818,6297.89,,0.0033659596124078245,,,,,,,,,
2014-01-02,6301.25,6358.3,6211.3,6221.15,158132556,5249.79,-0.012774432093181964,-0.012856726747011677,147.0,6286.34,,0.006976132004729136,,,,,,,,,
2014-01-03,6194.55,6221.7,6171.25,6211.15,139043889,5369.42,-0.0016074198500277692,-0.001608713135402426,50.44999999999982,6265.8099999999995,,0.005698804410777191,,,,,,,,,
2014-01-06,6220.85,6224.7,6170.25,6191.45,118344976,4722.67,-0.003171715382819573,-0.003176755933003238,54.44999999999982,6245.879999999999,,0.005695719261631154,,,,,,,,,
2014-01-07,6203.9,6221.5,6144.75,6162.25,138559000,5696.6,-0.004716181185344226,-0.004727337458320973,76.75,6217.53,,0.0048906597080898674,,34.65856787174883,,,,,14.144952923144354,,
2014-01-08,6178.05,6192.1,6160.35,6174.6,146912639,5816.54,0.0020041380989086477,0.002002132493375481,31.75,6192.12,,0.005476076007546964,,37.91131319249791,,,,,13.97799110278639,,
