episode,step,portfolio_value,reward,action,price,date
0,1,100000.0,0.0,0,0.0,Step_1
0,2,100000.0,0.0,0,0.0,Step_2
0,3,100000.0,-0.0010000000474974513,2,0.0,Step_3
0,4,100000.0,0.0,0,0.0,Step_4
1,5,100000.0,0.04447561502456665,1,0.0,Step_5
1,6,100000.0,0.002118123462423682,2,0.0,Step_6
1,7,100000.0,-0.0010000000474974513,2,0.0,Step_7
1,8,100000.0,0.027519164606928825,1,0.0,Step_8
2,9,100000.0,0.0171789713203907,2,0.0,Step_9
2,10,100000.0,0.1798889935016632,1,0.0,Step_10
2,11,100815.29717318478,0.23975792527198792,1,0.0,Step_11
2,12,100940.26423758798,0.03773500770330429,0,0.0,Step_12
3,13,101193.96243459932,0.07802915573120117,1,0.0,Step_13
3,14,100000.0,0.1663234978914261,2,0.0,Step_14
3,15,100000.0,0.0,0,0.0,Step_15
3,16,100000.0,-0.0010000000474974513,2,0.0,Step_16
4,17,100000.0,0.0,0,0.0,Step_17
4,18,100000.0,-0.0010000000474974513,2,0.0,Step_18
4,19,100000.0,-0.0010000000474974513,2,0.0,Step_19
4,20,100000.0,-0.09626922756433487,1,0.0,Step_20
5,21,100000.0,-0.0642516016960144,2,0.0,Step_21
5,22,100000.0,0.0,0,0.0,Step_22
5,23,100000.0,0.0,0,0.0,Step_23
5,24,100000.0,0.0,0,0.0,Step_24
6,25,100000.0,-0.01054861769080162,1,0.0,Step_25
6,26,100373.42176117147,0.11132324486970901,1,0.0,Step_26
6,27,99521.66799944243,-0.2543201148509979,0,0.0,Step_27
6,28,99206.2036432465,-0.09453830868005753,1,0.0,Step_28
7,29,98531.25664859472,-0.2000868022441864,1,0.0,Step_29
7,30,98254.67510839501,-0.08288124203681946,1,0.0,Step_30
7,31,98231.19869118974,-0.007157131563872099,0,0.0,Step_31
7,32,98297.95975261726,0.02036311849951744,1,0.0,Step_32
8,33,98531.99028663238,0.07134531438350677,1,0.0,Step_33
8,34,100000.0,-0.23937255144119263,2,0.0,Step_34
8,35,100000.0,0.03197089210152626,1,0.0,Step_35
8,36,100000.0,0.29823043942451477,2,0.0,Step_36
9,37,100000.0,0.5477066040039062,1,0.0,Step_37
9,38,100000.0,0.1342257410287857,2,0.0,Step_38
9,39,100000.0,-0.0010000000474974513,2,0.0,Step_39
9,40,100000.0,0.0,0,0.0,Step_40
10,41,100000.0,-0.0010000000474974513,2,0.0,Step_41
10,42,100000.0,0.20851443707942963,1,0.0,Step_42
10,43,100164.52010380599,0.04162389412522316,0,0.0,Step_43
10,44,99853.37748070846,-0.07820123434066772,0,0.0,Step_44
11,45,100176.91073923907,0.0817091092467308,0,0.0,Step_45
11,46,101425.6114434402,0.311036080121994,0,0.0,Step_46
11,47,100000.0,0.13097840547561646,2,0.0,Step_47
11,48,100000.0,-0.14134076237678528,1,0.0,Step_48
12,49,100000.0,0.01541964989155531,2,0.0,Step_49
12,50,100000.0,-0.0010000000474974513,2,0.0,Step_50
12,51,100000.0,-0.0010000000474974513,2,0.0,Step_51
12,52,100000.0,0.44427329301834106,1,0.0,Step_52
13,53,100000.0,0.07196179777383804,2,0.0,Step_53
13,54,100000.0,-0.04590022563934326,1,0.0,Step_54
13,55,100970.65081563039,0.24040821194648743,0,0.0,Step_55
13,56,102447.22888310987,0.38965824246406555,1,0.0,Step_56
14,57,103409.09858488974,0.26353463530540466,1,0.0,Step_57
14,58,103433.4155155527,0.0066950516775250435,0,0.0,Step_58
14,59,100000.0,0.30292126536369324,2,0.0,Step_59
14,60,100000.0,-0.0010000000474974513,2,0.0,Step_60
15,61,100000.0,-0.0010000000474974513,2,0.0,Step_61
15,62,100000.0,-0.0010000000474974513,2,0.0,Step_62
15,63,100000.0,0.0,0,0.0,Step_63
15,64,100000.0,-0.25343722105026245,1,0.0,Step_64
16,65,99768.46339075442,-0.060654476284980774,1,0.0,Step_65
16,66,99381.46648672964,-0.10310894250869751,0,0.0,Step_66
16,67,99141.99147945279,-0.06397977471351624,0,0.0,Step_67
16,68,100291.07459448016,0.3050532937049866,1,0.0,Step_68
17,69,100146.19883040935,-0.037961795926094055,0,0.0,Step_69
17,70,99140.00687994497,-0.26705998182296753,0,0.0,Step_70
17,71,100000.0,-0.06585947424173355,2,0.0,Step_71
17,72,100000.0,-0.0010000000474974513,2,0.0,Step_72
18,73,100000.0,-0.0010000000474974513,2,0.0,Step_73
18,74,100000.0,-0.0010000000474974513,2,0.0,Step_74
18,75,100000.0,-0.0010000000474974513,2,0.0,Step_75
18,76,100000.0,0.1329367607831955,1,0.0,Step_76
19,77,100458.6149956138,0.12970300018787384,0,0.0,Step_77
19,78,100000.0,-0.16614322364330292,2,0.0,Step_78
19,79,100000.0,0.0,0,0.0,Step_79
19,80,100000.0,-0.05996905639767647,1,0.0,Step_80
20,81,98570.90945129002,-0.37338802218437195,1,0.0,Step_81
20,82,100000.0,-0.15061067044734955,2,0.0,Step_82
20,83,100000.0,-0.0010000000474974513,2,0.0,Step_83
20,84,100000.0,-0.0010000000474974513,2,0.0,Step_84
21,85,100000.0,-0.0010000000474974513,2,0.0,Step_85
21,86,100000.0,0.07997214794158936,1,0.0,Step_86
21,87,100264.87819517478,0.06956204771995544,0,0.0,Step_87
21,88,101356.35903391225,0.28650233149528503,1,0.0,Step_88
22,89,101720.40344994064,0.0945749431848526,0,0.0,Step_89
22,90,102175.13276530227,0.12028110027313232,0,0.0,Step_90
22,91,101651.2480590822,-0.1368015557527542,1,0.0,Step_91
22,92,101106.48625373504,-0.1454722136259079,0,0.0,Step_92
23,93,101663.64383668889,0.14917714893817902,1,0.0,Step_93
23,94,100748.96593118388,-0.24511002004146576,0,0.0,Step_94
23,95,100000.0,-0.08048538863658905,2,0.0,Step_95
23,96,100000.0,0.0,0,0.0,Step_96
24,97,100000.0,0.2099590003490448,1,0.0,Step_97
24,98,99038.28155759661,-0.2611922323703766,0,0.0,Step_98
24,99,98743.95698730403,-0.08095905929803848,0,0.0,Step_99
24,100,97702.20291613686,-0.29227426648139954,0,0.0,Step_100
25,101,98443.1779308208,0.208861842751503,0,0.0,Step_101
25,102,99748.27503856555,0.35683906078338623,0,0.0,Step_102
25,103,99909.63719333122,0.044024500995874405,1,0.0,Step_103
25,104,100582.84010301359,0.18687789142131805,1,0.0,Step_104
26,105,100000.0,0.1643475741147995,2,0.0,Step_105
26,106,100000.0,0.0,0,0.0,Step_106
26,107,100000.0,0.0,0,0.0,Step_107
26,108,100000.0,0.05509172007441521,1,0.0,Step_108
27,109,100280.06234872197,0.07765579968690872,0,0.0,Step_109
27,110,100000.0,0.01876220665872097,2,0.0,Step_110
27,111,100000.0,-0.0010000000474974513,2,0.0,Step_111
27,112,100000.0,-0.0010000000474974513,2,0.0,Step_112
28,113,100000.0,-0.0010000000474974513,2,0.0,Step_113
28,114,100000.0,0.26235058903694153,1,0.0,Step_114
28,115,100689.48764901528,0.2101716548204422,1,0.0,Step_115
28,116,100000.0,0.10775018483400345,2,0.0,Step_116
29,117,100000.0,-0.0010000000474974513,2,0.0,Step_117
29,118,100000.0,0.0,0,0.0,Step_118
29,119,100000.0,0.0,0,0.0,Step_119
29,120,100000.0,-0.08697453886270523,1,0.0,Step_120
30,121,99278.17538437009,-0.23574598133563995,1,0.0,Step_121
30,122,100000.0,-0.08298548310995102,2,0.0,Step_122
30,123,100000.0,0.0,0,0.0,Step_123
30,124,100000.0,-0.25861334800720215,1,0.0,Step_124
31,125,98643.37229544888,-0.43061378598213196,0,0.0,Step_125
31,126,100000.0,-0.08319087326526642,2,0.0,Step_126
31,127,100000.0,0.5163096785545349,1,0.0,Step_127
31,128,100000.0,0.007756569888442755,2,0.0,Step_128
32,129,100000.0,0.0,0,0.0,Step_129
32,130,100000.0,-0.44201114773750305,1,0.0,Step_130
32,131,100000.0,-0.019396046176552773,2,0.0,Step_131
32,132,100000.0,-0.0010000000474974513,2,0.0,Step_132
33,133,100000.0,0.19469286501407623,1,0.0,Step_133
33,134,99875.13882178732,-0.03433765843510628,0,0.0,Step_134
33,135,99949.1771083657,0.0205844696611166,1,0.0,Step_135
33,136,100000.0,-0.02973884902894497,2,0.0,Step_136
34,137,100000.0,0.0,0,0.0,Step_137
34,138,100000.0,-0.0010000000474974513,2,0.0,Step_138
34,139,100000.0,0.40195363759994507,1,0.0,Step_139
34,140,100000.0,-0.126873180270195,2,0.0,Step_140
35,141,100000.0,0.08085812628269196,1,0.0,Step_141
35,142,99743.15882931161,-0.06757386028766632,0,0.0,Step_142
35,143,98274.40783841202,-0.3788970112800598,0,0.0,Step_143
35,144,100000.0,-0.13310614228248596,2,0.0,Step_144
36,145,100000.0,0.32778775691986084,1,0.0,Step_145
36,146,100000.0,0.06086254119873047,2,0.0,Step_146
36,147,100000.0,0.0,0,0.0,Step_147
36,148,100000.0,0.06127232313156128,1,0.0,Step_148
37,149,99714.89353737888,-0.07563069462776184,0,0.0,Step_149
37,150,100162.82885501992,0.12347099930047989,1,0.0,Step_150
37,151,100947.0275935642,0.2132851779460907,0,0.0,Step_151
37,152,101929.61551178794,0.26891085505485535,1,0.0,Step_152
38,153,103838.64346719405,0.4958077371120453,1,0.0,Step_153
38,154,103862.9742156453,0.006210906431078911,0,0.0,Step_154
38,155,104039.5281082531,0.04507311061024666,0,0.0,Step_155
38,156,100000.0,0.4018307626247406,2,0.0,Step_156
39,157,100000.0,0.02343253791332245,1,0.0,Step_157
39,158,100220.51113041914,0.06088581681251526,1,0.0,Step_158
39,159,100467.98693711236,0.07007211446762085,1,0.0,Step_159
39,160,100000.0,0.015798648819327354,2,0.0,Step_160
40,161,100000.0,0.11311452090740204,1,0.0,Step_161
40,162,100486.89495703168,0.14533065259456635,1,0.0,Step_162
40,163,100000.0,0.04240873456001282,2,0.0,Step_163
40,164,100000.0,-0.0010000000474974513,2,0.0,Step_164
41,165,100000.0,0.07579559087753296,1,0.0,Step_165
41,166,100898.01116414146,0.29076722264289856,0,0.0,Step_166
41,167,101526.44044799391,0.2029130607843399,1,0.0,Step_167
41,168,100728.40666991992,-0.24722543358802795,0,0.0,Step_168
42,169,100878.96785250957,0.04742564633488655,1,0.0,Step_169
42,170,101098.56103976483,0.06910710781812668,1,0.0,Step_170
42,171,100000.0,0.2212950736284256,2,0.0,Step_171
42,172,100000.0,-0.0010000000474974513,2,0.0,Step_172
43,173,100000.0,-0.0010000000474974513,2,0.0,Step_173
43,174,100000.0,-0.0010000000474974513,2,0.0,Step_174
43,175,100000.0,0.0,0,0.0,Step_175
43,176,100000.0,0.0,0,0.0,Step_176
44,177,100000.0,0.0,0,0.0,Step_177
44,178,100000.0,-0.0010000000474974513,2,0.0,Step_178
44,179,100000.0,0.0,0,0.0,Step_179
44,180,100000.0,-0.23060733079910278,1,0.0,Step_180
45,181,100000.0,-0.08346253633499146,2,0.0,Step_181
45,182,100000.0,-0.0010000000474974513,2,0.0,Step_182
45,183,100000.0,-0.0010000000474974513,2,0.0,Step_183
45,184,100000.0,-0.0010000000474974513,2,0.0,Step_184
46,185,100000.0,0.0,0,0.0,Step_185
46,186,100000.0,0.0,0,0.0,Step_186
46,187,100000.0,0.0,0,0.0,Step_187
46,188,100000.0,-0.0010000000474974513,2,0.0,Step_188
47,189,100000.0,-0.0010000000474974513,2,0.0,Step_189
47,190,100000.0,0.0,0,0.0,Step_190
47,191,100000.0,0.0,0,0.0,Step_191
47,192,100000.0,-0.0010000000474974513,2,0.0,Step_192
48,193,100000.0,0.11100652813911438,1,0.0,Step_193
48,194,100015.69536503796,0.004194481298327446,0,0.0,Step_194
48,195,100000.0,0.13562710583209991,2,0.0,Step_195
48,196,100000.0,-0.05318339169025421,1,0.0,Step_196
49,197,97003.60450682709,-0.7197179794311523,0,0.0,Step_197
49,198,96702.23431681468,-0.08440382778644562,0,0.0,Step_198
49,199,98283.68184856298,0.3791249394416809,0,0.0,Step_199
49,200,100000.0,-0.11257390677928925,2,0.0,Step_200
50,201,100000.0,-0.0010000000474974513,2,0.0,Step_201
50,202,100000.0,-0.06662959605455399,1,0.0,Step_202
50,203,100000.0,-0.02682720497250557,2,0.0,Step_203
50,204,100000.0,0.5991566181182861,1,0.0,Step_204
51,205,100231.33568397074,0.05405082926154137,1,0.0,Step_205
51,206,100665.75231188526,0.10160385817289352,0,0.0,Step_206
51,207,102371.63224101294,0.39211711287498474,0,0.0,Step_207
51,208,102770.73044389376,0.09103558957576752,1,0.0,Step_208
52,209,100000.0,0.3141283094882965,2,0.0,Step_209
52,210,100000.0,0.20134055614471436,1,0.0,Step_210
52,211,100847.70700348589,0.20161090791225433,0,0.0,Step_211
52,212,100000.0,0.08857148140668869,2,0.0,Step_212
53,213,100000.0,-0.0010000000474974513,2,0.0,Step_213
53,214,100000.0,-0.0010000000474974513,2,0.0,Step_214
53,215,100000.0,-0.0010000000474974513,2,0.0,Step_215
53,216,100000.0,0.0,0,0.0,Step_216
54,217,100000.0,-0.09869880974292755,1,0.0,Step_217
54,218,100000.0,-0.014255630783736706,2,0.0,Step_218
54,219,100000.0,0.0,0,0.0,Step_219
54,220,100000.0,-0.39725831151008606,1,0.0,Step_220
55,221,100459.75124173882,0.11729266494512558,0,0.0,Step_221
55,222,101185.1495657579,0.18398016691207886,0,0.0,Step_222
55,223,100000.0,0.21670900285243988,2,0.0,Step_223
55,224,100000.0,-0.0010000000474974513,2,0.0,Step_224
56,225,100000.0,0.0,0,0.0,Step_225
