date,action,price,shares,value
2025-04-23,BUY,24328.95,4,97315.8
2025-09-26,SELL,24654.7,4,98618.8
2025-10-29,BUY,26053.9,3,78161.70000000001
2025-12-17,SELL,25818.55,3,77455.65
