date,value,return_%
2025-07-30,101156.20000000001,0.13442829369116893
2025-07-31,100809.40000000001,-0.34283612868020175
2025-08-01,99997.40000000001,-0.8054804413080485
2025-08-04,100627.00000000001,0.6296163700256319
2025-08-05,100334.20000000001,-0.29097558309399973
2025-08-06,100032.80000000002,-0.3003960763129587
2025-08-07,100120.60000000002,0.0877712110427753
2025-08-08,99189.20000000001,-0.930278084629943
2025-08-11,100076.20000000001,0.894250583732914
2025-08-12,99685.60000000002,-0.3903025894268497
2025-08-13,100213.40000000001,0.5294646368181555
2025-08-14,100261.20000000001,0.047698212015556685
2025-08-18,101243.80000000002,0.9800401351669485
2025-08-19,101243.80000000002,0.0
2025-08-20,101243.80000000002,0.0
2025-08-21,101243.80000000002,0.0
2025-08-22,101243.80000000002,0.0
2025-08-25,101243.80000000002,0.0
2025-08-26,101243.80000000002,0.0
2025-08-28,100399.20000000003,-0.83422392284761
2025-08-29,100103.00000000001,-0.2950222710938033
2025-09-01,100895.80000000002,0.7919842562160939
2025-09-02,100714.00000000001,-0.18018589475479185
2025-09-03,101255.80000000002,0.5379589729332501
2025-09-04,101255.80000000002,0.0
2025-09-05,101282.60000000002,0.026467619632652983
2025-09-08,101282.60000000002,0.0
2025-09-09,101664.40000000001,0.37696504631594685
2025-09-10,101664.40000000001,0.0
2025-09-11,101664.40000000001,0.0
2025-09-12,101664.40000000001,0.0
2025-09-15,101664.40000000001,0.0
2025-09-16,101664.40000000001,0.0
2025-09-17,101664.40000000001,0.0
2025-09-18,101664.40000000001,0.0
2025-09-19,101664.40000000001,0.0
2025-09-22,101664.40000000001,0.0
2025-09-23,101664.40000000001,0.0
2025-09-24,101664.40000000001,0.0
2025-09-25,101664.40000000001,0.0
2025-09-26,100719.80000000002,-0.9291354692497977
2025-09-29,100640.60000000002,-0.07863399252182601
2025-09-30,100545.40000000001,-0.09459403063973859
2025-10-01,101446.20000000001,0.8959136867524586
2025-10-03,101678.00000000001,0.2284954981063958
2025-10-06,102411.60000000002,0.7214933417258429
2025-10-07,102411.60000000002,0.0
2025-10-08,102411.60000000002,0.0
2025-10-09,102954.20000000001,0.5298227935116584
2025-10-10,102954.20000000001,0.0
2025-10-13,102954.20000000001,0.0
2025-10-14,102954.20000000001,0.0
2025-10-15,102954.20000000001,0.0
2025-10-16,102954.20000000001,0.0
2025-10-17,102954.20000000001,0.0
2025-10-20,102954.20000000001,0.0
2025-10-21,102954.20000000001,0.0
2025-10-23,102954.20000000001,0.0
2025-10-24,102954.20000000001,0.0
2025-10-27,102954.20000000001,0.0
2025-10-28,102954.20000000001,0.0
2025-10-29,102954.20000000001,0.0
2025-10-30,102954.20000000001,0.0
2025-10-31,102954.20000000001,0.0
2025-11-03,102954.20000000001,0.0
2025-11-04,102954.20000000001,0.0
2025-11-06,102954.20000000001,0.0
2025-11-07,102954.20000000001,0.0
2025-11-10,103282.40000000001,0.3187825265992039
2025-11-11,103764.80000000002,0.46706892945942435
2025-11-12,103764.80000000002,0.0
2025-11-13,103764.80000000002,0.0
2025-11-14,103764.80000000002,0.0
2025-11-17,103764.80000000002,0.0
2025-11-18,103764.80000000002,0.0
2025-11-19,103764.80000000002,0.0
2025-11-20,103764.80000000002,0.0
2025-11-21,103764.80000000002,0.0
2025-11-24,103764.80000000002,0.0
2025-11-25,103764.80000000002,0.0
2025-11-26,103764.80000000002,0.0
2025-11-27,103764.80000000002,0.0
2025-11-28,103764.80000000002,0.0
2025-12-01,103764.80000000002,0.0
2025-12-02,103764.80000000002,0.0
2025-12-03,103764.80000000002,0.0
2025-12-04,103764.80000000002,0.0
2025-12-05,103764.80000000002,0.0
2025-12-08,103764.80000000002,0.0
2025-12-09,103764.80000000002,0.0
2025-12-10,103438.20000000001,-0.3147502814056513
2025-12-11,104000.40000000001,0.5435129381601733
2025-12-12,104000.40000000001,0.0
2025-12-15,103941.45,-0.0566824742981864
2025-12-16,103941.45,0.0
2025-12-17,103775.25,-0.1598977116443856
