date,action,price,shares,value
2025-01-01,BUY,23742.9,4,94971.6
2025-03-21,SELL,23350.4,4,93401.6
2025-07-17,BUY,25111.45,3,75334.35
2025-09-16,SELL,25239.1,3,75717.29999999999
